Agency,Commodity,Supplier,Ordered Date,PO_#,PO Amount,OBJECTID
EQUIPMENT LEASE - CAPITAL,"9204058:PROGRAMMING ANALYSIS FOR NT, UNIX RELATIONAL DATABASE, CLIENT SERVER ENVIRONMENT","CDW Government, Inc.",9-Mar-15,PO516574,5650,16863
DEPARTMENT OF FORENSICS SCIENCES,"9487452:MEDICAL TESTING SERVICES, SPECIALIZED",Occupational Health Consultants,18-Nov-14,PO510645,5000,16864
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,3-Feb-15,PO515037,22.26,16865
DEPARTMENT OF FORENSICS SCIENCES,"9384600:Furniture, Laboratory, Specialized, Maintenance and Repair (Includes Refinishing and Reupholstering)",FOSTER AND FREEMAN USA,20-Nov-14,PO507597-V2,1964.38,16866
METROPOLITAN POLICE DEPARTMENT,"1205655:PARTS AND ACCESS., MARINE ENGINE",TRI STATE MARINE INC,10-Dec-14,PO512391,7420,16867
DEPUTY MAYOR FOR PUBLIC SAFETY & JUSTICE,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)","NNR Evaluation, Planning & Research LLC",28-Oct-14,PO508523,14533.37,16868
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,Broughton Construction,13-Jan-15,PO514061,150000,16869
OFFICE OF THE CHIEF FINANCIAL OFFICER,"0151591:XEROX DEVELOPER, FILM, AND PAPER",XEROX CORPORATION,26-Feb-15,PO516144,86193.36,16870
DEPARTMENT OF GENERAL SERVICES,9885254:LANDSCAPE REPLACEMENT SERVICES,COMMUNITY BRIDGE INC,9-Oct-14,PO506766,102589.56,16871
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING","AVID SYSTEMS, LLC",18-Nov-14,PO510603,180102,16872
OFFICE OF THE D.C. AUDITOR,9314500:Furniture Installation and Reconfiguration Services (Including Systems Furniture),American Business Supplies LLC,11-Feb-15,PO515528,250,16873
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,CHARLES BETSEY PHD,2-Feb-15,PO514964,1050,16874
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,Capital Reporting Company,22-Oct-14,PO508013,4.8,16875
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,9187500:Management Consulting,QUALITY TRUST,11-Feb-15,PO512660-V2,24662.5,16876
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,9183200:Consulting Services (Not Otherwise Classified),"FWG Solutions, Inc.",26-Jan-15,PO514575,1030644,16877
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,Capital Reporting Company,2-Dec-14,PO507164-V2,91.2,16878
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","MVS, Inc.",18-Nov-14,PO510711,50894.94,16879
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","MVS, Inc.",23-Dec-14,PO513341,552.6,16880
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","MVS, Inc.",23-Feb-15,PO515959,54.88,16881
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","SUPRETECH, INC.",5-Nov-14,PO508413-V2,89.13,16882
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9183000:Computer Network Consulting,"OST, Inc.",22-Jan-15,PO505762-V4,115187.04,16883
DEPARTMENT OF BEHAVIORAL HEALTH,"6150000:OFFICE SUPPLIES, GENERAL",ALS OFFICE PRODUCTS,10-Feb-15,PO505727-V2,1000,16884
DEPARTMENT OF BEHAVIORAL HEALTH,4756900:Pharmaceutical Equipment and Supplies (Not Otherwise Classified),PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,17-Jan-15,PO514319,3486.88,16885
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),"PATHWAYS TO HOUSING DC, INC.",1-Oct-14,PO505596,800,16886
DEPARTMENT OF BEHAVIORAL HEALTH,"3305573:FENCE, SAFETY",MICON CONSTRUCTIONS INC,6-Nov-14,PO509614,15520,16887
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),"Roxanne Dryden Edwards, MD",1-Oct-14,PO505811,40000,16888
DEPARTMENT OF PARKS AND RECREATION,"0373400:Decorations: Christmas, Party, etc.",THE HAMILTON GROUP,10-Dec-14,PO512374,15.39,16889
DEPARTMENT OF PARKS AND RECREATION,9625800:Professional Services (Not Otherwise Classified),WILLIE NICHOLSON,6-Feb-15,PO507773-V2,0,16890
DEPARTMENT ON DISABILITY SERVICES,9523900:Employment Generating Activities,CREATIVE OPTIONS & EMPLOYMENT,7-Oct-14,PO506362,25000,16891
DEPARTMENT ON DISABILITY SERVICES,"9248600:Vocational Training, All Types  (Including Vocational Rehabilitation and Technical Education)",CHILDRENS HOSPITAL MEDICAL CT,28-Nov-14,PO511595,10000,16892
DEPARTMENT OF HEALTH,1934041:HIV TESTING KITS AND SUPPLIES,"bioLytical Laboratories, Inc.",29-Dec-14,PO513496,249999,16893
DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)","CTI CONSULTANTS, INC.",4-Nov-14,PO509252,801964.8,16894
DEPARTMENT OF HEALTH,9625800:Professional Services (Not Otherwise Classified),COMMUNITY CONNECTIONS,20-Oct-14,PO507719,200000,16895
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7852505:BOARDS, BULLETIN, MARK N WIPE, DRY ERASE, MELAMINE ON TEMPERED HARDBOARD, (WHITE) WITH BRONZE-FINISH FRAME",MDM Office Systems DBA Standard Office Supply,23-Feb-15,PO515989,446.25,16896
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6453130:CARD STOCK, PAPER",MDM Office Systems DBA Standard Office Supply,26-Feb-15,PO516174,305.1,16897
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4206280:CHAIR BACKS, COVERS, CUSHIONS AND SEATS (REPLACEMENT) FOR INDOOR LOUNGE FURNITURE",SCHOOL HEALTH CORPORATION,12-Nov-14,PO510067,242.86,16898
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4851110:CLEANER AND DETERGENT, PASTE (SOFT VEGETABLE SOAP)",General Merchandise Supplies,22-Oct-14,PO507964,973.6,16899
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9980800:Arts and Crafts,SCHOOL SPECIALTY,12-Feb-15,PO515560,24.48,16900
DC PUBLIC LIBRARY,9150300:Advertising/Public Relations,WASHINGTON CITY PAPER,5-Nov-14,PO509445,21105,16901
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9611500:Concessions, Catering, Vending: Mobile and Stationary",GREAT AMERICAN CORP,8-Oct-14,PO506743,10000,16902
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"1250532:ADHESIVE, PADDING, FOR USE ON RECYCLED CARBONLESS PAPER",General Merchandise Supplies,24-Nov-14,PO511198,5.88,16903
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9988100:Printing Equipment,SHARP ELECTRONICS CORPORATION,20-Oct-14,PO507704,5148,16904
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9616800:Sports Professionals Services (Including Sports and Recreational Programs and Referee/Umpire Services),"FLAGHOUSE, INC.",5-Dec-14,PO512148,19.95,16905
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9617300:Theatrical Services (Including Production, Scenery Design, Stage, etc.)",SMITHSONIAN INSTITUTION,13-Jan-15,PO514017,1750,16906
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),B & H FOTO & ELECTORNICS CORP,11-Dec-14,PO512548,96,16907
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,11.06,16908
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,3.24,16909
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,15.34,16910
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",NIENHUIS MONTESSORI USA INC,21-Nov-14,PO511087,269.5,16911
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247400:Special Education,VARLEISHA D GIBBS,29-Dec-14,PO513543,2500,16912
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9595658:PASSENGER TRANSPORTATION SERVICES,BATTLES TRANSPORTATION,29-Jan-15,PO514827,1295,16913
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",MACKIN LIBRARY MEDIA,18-Dec-14,PO513048,16.22,16914
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER","SCHOLASTIC, INC.",29-Dec-14,PO513538,399,16915
BOARD OF ELECTIONS,"9667400:Publications Printed on Newsprint or Groundwood Paper Stock (Quan. Over 100,000)",THEWASHINGTON TIMES LLC,1-Oct-14,PO505704,5000,16916
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,17-Nov-14,PO510458,24,16917
OFFICE ON AGING,"9852700:Copy Machines, Digital Type, Rental or Lease",XEROX CORPORATION,23-Oct-14,PO508250,6237,16918
DEPARTMENT OF MOTOR VEHICLES,"6206052:PENCIL, WOOD CASED, FIRST GRADE, BLACK LEAD",MDM Office Systems DBA Standard Office Supply,26-Nov-14,PO511489,39429,16919
OFFICE OF THE CHIEF FINANCIAL OFFICER,"6003850:COPIERS, COLOR, NEW",SHARP ELECTRONICS CORPORATION,14-Nov-14,PO510342,21632.64,16920
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING","Networking For Future, Inc.",24-Oct-14,PO485034-V4,76926.7,16921
CHILD AND FAMILY SERVICES AGENCY,"9187850:CONSULTING SERVICES, MEDICAL",Thelma Randolph,1-Oct-14,PO505548,35360,16922
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),CHESTNUT HEALTH SYSTEMS,10-Nov-14,PO506072-V2,11200,16923
DEPARTMENT OF BEHAVIORAL HEALTH,9105960:PEST CONTROL SERVICES (INCL. TERMITE INSPECTION),PEST SERVICES CO.,10-Feb-15,PO515475,294,16924
DEPARTMENT OF YOUTH REHABILITATION SVCS,"5561000:Coach, Transit (Articulated)",CAPITOL ENTERTAINMENT,1-Dec-14,PO511664,47520,16925
DEPARTMENT OF HEALTH CARE FINANCE,9183200:Consulting Services (Not Otherwise Classified),"OST, Inc.",3-Dec-14,PO508526-V2,171695.04,16926
DEPARTMENT OF CORRECTIONS,"9981800:Books, All Types (Library, School, etc.)",THE CHANGE COMPANIES,4-Mar-15,PO516420,500,16927
DEPARTMENT OF CORRECTIONS,9367300:Security and Access Systems Maintenance and Repair,LIEBERT GLOBAL SERVICES,28-Oct-14,PO508566,7300,16928
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",Massey Media LLC,14-Oct-14,PO507116,100000,16929
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",FAMILY SERVICES AGENCY INC,1-Oct-14,PO505232,14565.6,16930
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",MY OWN PLACE INC,15-Jan-15,PO505363-V2,33780.75,16931
STATE SUPERINTENDENT OF EDUCATION (OSSE),"2045446:MICROCOMPUTERS, LAPTOP",Dell Computer Corp.,13-Jan-15,PO514030,2145.5,16932
DC PUBLIC LIBRARY,"CHAIRS, SIDE ARM, TRADITIONAL STYLE","Liberty Systems, Inc",2-Feb-15,PO514974,300.63,16933
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2009243:COVERALLS, WORK, 100% COTTON, SHORT SLEEVE, SHIRT TYPE COLLAR, SNAP FRONT",MORGANS INC,13-Jan-15,PO513988,162.5,16934
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6208116:PEN REFILLS, FOR BALL POINT PENS",AMERICAN EXPRESS COMPANY,11-Dec-14,PO512479,6700,16935
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6408512:TOWELS, DISPOSABLE, FOLDED TO FIT QUARTER-FOLDED DISPENSER",General Merchandise Supplies,23-Oct-14,PO508109,982.8,16936
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2094400:Educational: Foreign Languages, Math, Science, Social Studies, etc.",OFFICE DEPOT,13-Jan-15,PO514028,2.35,16937
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9203130:COMPUTER HARDWARE INSTALLATION SERVICES, MAINFRAME",APPLE COMPUTER INC,26-Jan-15,PO514624,5560,16938
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9203130:COMPUTER HARDWARE INSTALLATION SERVICES, MAINFRAME",APPLE COMPUTER INC,26-Jan-15,PO514624,366,16939
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9155190:WORLD WIDE WEB (WWW) ADVERTISING SERVICES,"EDUCATIONAL NETWORKS, INC.",12-Dec-14,PO512588,4200,16940
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4857453:BAGS, ABSORBENT",General Merchandise Supplies,18-Nov-14,PO510736,790,16941
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6209023:MARKERS, HIGHLIGHTER, FINE POINT, CHISEL TIP, .4MM, PERMANENT, CAP W/METAL POCKET CLIP",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,8-Dec-14,PO512245,66.75,16942
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9625800:Professional Services (Not Otherwise Classified),KSA-PLUS COMMUNICATIONS INC,22-Jan-15,PO514438,8000,16943
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9625800:Professional Services (Not Otherwise Classified),Fund for Education and Human Service,19-Nov-14,PO510793,750,16944
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8056200:Physical Education Equipment, Adaptive: Body Alignment Wedges, Mobile Mats, Stimulation Boards, Straddle Seats, Vestibular Boards, etc.",NASCO,24-Dec-14,PO513365,12.56,16945
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9611500:Concessions, Catering, Vending: Mobile and Stationary",DC CENTRAL KITCHEN,13-Jan-15,PO514064,3974.25,16946
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"HOLDERS, TRASH RECEPTACLE",General Merchandise Supplies,11-Dec-14,PO512471,137.85,16947
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9816500:School Equipment and Supplies Rental or Lease,SCHOOL SPECIALTY,20-Feb-15,PO510397-V2,7.13,16948
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9816500:School Equipment and Supplies Rental or Lease,SCHOOL SPECIALTY,27-Feb-15,PO516260,14.29,16949
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6453337:PAPER, COPIER, MULTI-PURPOSE",MDM Office Systems DBA Standard Office Supply,26-Feb-15,PO516174,2995,16950
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2077550:PANEL, PROJECTION, FOR USE WITH OVERHEAD PROJECTOR AND COMPUTER","MVS, Inc.",4-Mar-15,PO516479,450,16951
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9674500:Janitorial Products Manufacturing Services,General Merchandise Supplies,26-Nov-14,PO511445,807,16952
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247400:Special Education,SCHOOL SPECIALTY,27-Feb-15,PO516254,174,16953
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",NIENHUIS MONTESSORI USA INC,30-Dec-14,PO513366,279.6,16954
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN","LABYRINTH GAMES & PUZZLES, LLC",10-Nov-14,PO510010,59.96,16955
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",SCHOOL SPECIALTY,5-Nov-14,PO509492,52.26,16956
PUBLIC SERVICE COMMISSION,9581500:Building and Facilities Management Services,RP MRP 1333H LLC,11-Feb-15,PO515521,1000,16957
METROPOLITAN POLICE DEPARTMENT,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",YELLOW HOUSE ASSOCIATES,1-Oct-14,PO505570,60000,16958
DEPUTY MAYOR FOR PUBLIC SAFETY & JUSTICE,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)","The Moss Group, Inc.",15-Jan-15,PO513878-V2,0,16959
DEPARTMENT OF PUBLIC WORKS,"9284749:MAINTENANCE SERVICES, VEHICLE (MISC)",R & S AUTO & TRUCK SPRING WORK,8-Oct-14,PO506296,50000,16960
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,BLUE SKYE CONSTRUCTION LLC,8-Jan-15,PO513863,13883.31,16961
DEPARTMENT OF GENERAL SERVICES,"9092200:Building Construction, Non-Residential (Office Bldg., etc.)",TURNER CONSTRUCTION COMPANY,13-Jan-15,PO514039,1250000,16962
OFFICE OF THE CHIEF FINANCIAL OFFICER,9625800:Professional Services (Not Otherwise Classified),"SHRED-IT USA, INC.",17-Nov-14,PO510481,312,16963
CHILD AND FAMILY SERVICES AGENCY,1002100:Freight and Cargo Containers (Shipping) (See Class 640 For Boxes),ADVANCED NETWORK CONSULTING,9-Oct-14,PO506783,395,16964
LOTTERY & CHARITABLE GAMES CONTROL BOARD,9667600:Print-On-Demand Printing Services (Including Print and Distribute Services),THE HAMILTON GROUP,19-Feb-15,PO510407-V2,2587,16965
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,CORBIN & HOOK REPORTING,25-Nov-14,PO511321,223.2,16966
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,NEAL R GROSS & CO INC,22-Oct-14,PO508033,400,16967
OFFICE OF UNIFIED COMMUNICATIONS,9625800:Professional Services (Not Otherwise Classified),"OST, Inc.",10-Dec-14,PO507424-V2,69480,16968
DC PUBLIC LIBRARY,"9092200:Building Construction, Non-Residential (Office Bldg., etc.)","Capital Builders and Associates, Inc.",29-Oct-14,PO499899-V2,1964.64,16969
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8055135:GAMES, PLAYGROUND",S&S WORLDWIDE INC.,23-Jan-15,PO514549,47.96,16970
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"3651555:PARTS AND ACCESSORIES, CARPET CLEANER EXTRACTOR",General Merchandise Supplies,11-Dec-14,PO512471,30.72,16971
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9713000:Hotel/Motel Accomodations (Incl. Lodges, Resorts, Bed/Breakfast Inns, etc.)",WEST END TRAVEL INC,27-Jan-15,PO514689,3030,16972
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9241800:Educational Services, Alternative",AGILE MIND EDUCATIONAL HOLDING,17-Oct-14,PO507610,119180,16973
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2854579:LAMPS, PROJECTION",Clinton Learning Solutions LLC,26-Nov-14,PO511422,120,16974
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6207138:PENCILS, MARKING (NOT GREASE OR CHINA)",ATLAS PEN & PENCIL CORP.,13-Feb-15,PO515693,21.99,16975
DEPARTMENT OF HUMAN SERVICES,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",26-Nov-14,PO508957-V2,305917.6,16976
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,19.95,16977
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6152940:CORRECTION FLUID, ALL PURPOSE (FOR PAPER, TYPEWRITER, PHOTOCOPIES, FAX, ETC.)",SCHOOL SPECIALTY,12-Dec-14,PO512627,3.38,16978
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2045446:MICROCOMPUTERS, LAPTOP",Dell Computer Corp.,18-Dec-14,PO513096,5459.96,16979
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7854400:Displays, Educational: Kits, Models, Plaques, etc.","TRIUMPH LEARNING, COACH BOOKS",16-Oct-14,PO507471,509.66,16980
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,25.54,16981
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,3934331:NUTRITIONAL SNACK BARS,MDM Office Systems DBA Standard Office Supply,22-Jan-15,PO514440,94.64,16982
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,13.61,16983
OFFICE OF PEOPLES COUNSEL,"9615040:LEGAL SERVICES INCLUDING RESEARCH TIME, TRAVEL TIME, TESTIFYING TIME, MEALS, ETC.",Matthew I. Kahal,22-Oct-14,PO507970,5683,16984
BOARD OF ELECTIONS,"9716500:Room Rental for Conferences, Seminars, etc.",COVENANT BAPTIST UNITED CHURCH,15-Oct-14,PO507286,500,16985
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,22-Oct-14,PO507910,13.2,16986
HOMELAND SECURITY/EMERGENCY MANAGEMENT,9751440:AUTOMOBILE RENTAL OR LEASE SERVICES,GENERAL SERVICE ADMINISTRATION,20-Nov-14,PO510975,4296,16987
HOMELAND SECURITY/EMERGENCY MANAGEMENT,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",ADVENT NET INC,19-Feb-15,PO515792,2995,16988
PUBLIC EMPLOYEE RELATIONS BOARD,"9614900:Legal Services, Attorneys","Webster, Fredrickson, Correla",17-Oct-14,PO507501,50000,16989
DEPARTMENT OF GENERAL SERVICES,9103957:JANITORIAL/CUSTODIAL SERVICES,CLEAN TEAM JANITORIAL SVCS,7-Nov-14,PO509809,98118.83,16990
OFFICE OF THE CHIEF FINANCIAL OFFICER,9667600:Print-On-Demand Printing Services (Including Print and Distribute Services),PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,24-Oct-14,PO487407-V3,4541.55,16991
DEPT. OF HOUSING AND COMM. DEVELOPMENT,9466000:Loan Administration,"CORNERSTONE, INC.",20-Nov-14,PO510978,300000,16992
D.C. NATIONAL GUARD,"4454334:HOE-RAKE COMBINATION, LAWN AND GARDEN",VAN-TECH INDUSTRIES LLC,11-Dec-14,PO512505,223.75,16993
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,NEAL R GROSS & CO INC,22-Oct-14,PO508033,100,16994
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,"PARLI APPRAISAL, INC.",24-Feb-15,PO516000,3000,16995
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"The Pittman Group, Inc DBA VANTIX",31-Oct-14,PO508884,31066.5,16996
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","Networking For Future, Inc.",21-Nov-14,PO510993,3661.2,16997
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","MVS, Inc.",1-Oct-14,PO505817,881.73,16998
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","MVS, Inc.",30-Dec-14,PO513587,901.12,16999
DEPARTMENT OF CORRECTIONS,"4857676:SOCKS, ABSORBENT, RECYCLED, TREATED PAPER FILLER IN A CELLULOSE/POLYESTER SOCK",AMERICAN SUPPLY COMPANY,15-Jan-15,PO514180,1669.5,17000
DEPARTMENT OF PARKS AND RECREATION,"6453337:PAPER, COPIER, MULTI-PURPOSE",THE HAMILTON GROUP,3-Dec-14,PO511873,8545,17001
DEPARTMENT OF TRANSPORTATION,"9204752:SUPPORT SERVICES, COMPUTER, MISCELLANEOUS","OST, Inc.",11-Dec-14,PO508283-V2,11706,17002
OFFICE OF ZONING,"9392741:COPY MACHINE MAINTENANCE AND REPAIR, ENGINEERING",XEROX CORPORATION,23-Oct-14,PO506019-V2,0,17003
DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"9842300:Computers, Micro, Rental or Lease",APPLE COMPUTER INC,2-Dec-14,PO511752,4465.95,17004
DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"6003850:COPIERS, COLOR, NEW",Metro Business Systems,11-Feb-15,PO508242-V4,6883.56,17005
DEPARTMENT OF HEALTH,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)",MIDTOWN PERSONNEL INC,13-Feb-15,PO513939-V3,28732.8,17006
DEPARTMENT OF HEALTH,9625800:Professional Services (Not Otherwise Classified),GEORGE WASHINGTON UNIVERSITY,10-Oct-14,PO507005,68272,17007
"DEPART OF INSURANCE,SECURITIES & BANKING","9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)",Center for Dispute Settlement,20-Nov-14,PO509333-V2,9000,17008
DC PUBLIC LIBRARY,9636400:Registration Fees,CHARLES W. SYKES JR.,12-Nov-14,PO510093,2300,17009
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"0378420:BALLOONS, LATEX","SKY,LLC DBA/US-OFFICE SOLUTION",4-Dec-14,PO511941,14.06,17010
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9816500:School Equipment and Supplies Rental or Lease,APPLE COMPUTER INC,4-Dec-14,PO512021,366,17011
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4756424:CLEANERS, ABSORBENT, PAPER, RAYON FIBERS, LINT FREE",AMERICAN EXPRESS COMPANY,21-Nov-14,PO511095,799.8,17012
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2007084:SHIRTS, TEE, 100% COTTON OR POLY/COTTON BLEND, ASSORTED COLORS",MORGANS INC,6-Nov-14,PO509665,800.7,17013
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247400:Special Education,GREAT AMERICAN CORP,23-Feb-15,PO506144-V2,398,17014
